area_name,area_code,date,new_cases,total_cases
Enfield,E09000010,02 12 2020,144,6624
Enfield,E09000010,03 12 2020,94,6718
Enfield,E09000010,04 12 2020,139,6857
Enfield,E09000010,05 12 2020,109,6966
Enfield,E09000010,06 12 2020,143,7109
Enfield,E09000010,07 12 2020,195,7304
Enfield,E09000010,08 12 2020,199,7503
Enfield,E09000010,09 12 2020,253,7756
Enfield,E09000010,10 12 2020,260,8016
Enfield,E09000010,11 12 2020,281,8297
Enfield,E09000010,12 12 2020,233,8530
Enfield,E09000010,13 12 2020,318,8848
Enfield,E09000010,14 12 2020,397,9245
Enfield,E09000010,15 12 2020,446,9691
Enfield,E09000010,16 12 2020,435,10126
Enfield,E09000010,17 12 2020,449,10575
Enfield,E09000010,18 12 2020,467,11042
Enfield,E09000010,19 12 2020,256,11298
Enfield,E09000010,20 12 2020,389,11687
Enfield,E09000010,21 12 2020,695,12382
Enfield,E09000010,22 12 2020,557,12939
Enfield,E09000010,23 12 2020,639,13578
Enfield,E09000010,24 12 2020,453,14031
Enfield,E09000010,25 12 2020,243,14274
Enfield,E09000010,26 12 2020,571,14845
Enfield,E09000010,27 12 2020,543,15388
Enfield,E09000010,28 12 2020,498,15886
Enfield,E09000010,29 12 2020,900,16786
Enfield,E09000010,30 12 2020,760,17546
Enfield,E09000010,31 12 2020,519,18065
Enfield,E09000010,01 01 2021,309,18374
Enfield,E09000010,02 01 2021,615,18989
Enfield,E09000010,03 01 2021,584,19573
Enfield,E09000010,04 01 2021,866,20439
Enfield,E09000010,05 01 2021,645,21084
Enfield,E09000010,06 01 2021,580,21664
Enfield,E09000010,07 01 2021,427,22091
Enfield,E09000010,08 01 2021,398,22489
Enfield,E09000010,09 01 2021,369,22858
Enfield,E09000010,10 01 2021,317,23175
Enfield,E09000010,11 01 2021,464,23639
Enfield,E09000010,12 01 2021,364,24003
Enfield,E09000010,13 01 2021,371,24374
Enfield,E09000010,14 01 2021,400,24774
Enfield,E09000010,15 01 2021,295,25069
Enfield,E09000010,16 01 2021,247,25316
Enfield,E09000010,17 01 2021,202,25518
Enfield,E09000010,18 01 2021,281,25799
Enfield,E09000010,19 01 2021,271,26070
Enfield,E09000010,20 01 2021,249,26319
Enfield,E09000010,21 01 2021,198,26517
Enfield,E09000010,22 01 2021,197,26714
Enfield,E09000010,23 01 2021,150,26864
Enfield,E09000010,24 01 2021,118,26982
Enfield,E09000010,25 01 2021,205,27187
Enfield,E09000010,26 01 2021,160,27347
Enfield,E09000010,27 01 2021,173,27520
Enfield,E09000010,28 01 2021,133,27653
Enfield,E09000010,29 01 2021,112,27765
Enfield,E09000010,30 01 2021,97,27862
Enfield,E09000010,31 01 2021,69,27931
Enfield,E09000010,01 02 2021,122,28053
Enfield,E09000010,02 02 2021,79,28132
Enfield,E09000010,03 02 2021,105,28237
Enfield,E09000010,04 02 2021,74,28311
Enfield,E09000010,05 02 2021,73,28384
Enfield,E09000010,06 02 2021,61,28445
Enfield,E09000010,07 02 2021,51,28496
Enfield,E09000010,08 02 2021,55,28551
Enfield,E09000010,09 02 2021,52,28603
Enfield,E09000010,10 02 2021,45,28648
Enfield,E09000010,11 02 2021,54,28702
Enfield,E09000010,12 02 2021,32,28734
Enfield,E09000010,13 02 2021,23,28757
Enfield,E09000010,14 02 2021,29,28786
Enfield,E09000010,15 02 2021,44,28830
Enfield,E09000010,16 02 2021,18,28848
Enfield,E09000010,17 02 2021,39,28887
Enfield,E09000010,18 02 2021,44,28931
Enfield,E09000010,19 02 2021,21,28952
Enfield,E09000010,20 02 2021,31,28983
Enfield,E09000010,21 02 2021,24,29007
Enfield,E09000010,22 02 2021,31,29038
Enfield,E09000010,23 02 2021,21,29059
Enfield,E09000010,24 02 2021,17,29076
Enfield,E09000010,25 02 2021,15,29091
Enfield,E09000010,26 02 2021,24,29115
Enfield,E09000010,27 02 2021,13,29128
Enfield,E09000010,28 02 2021,12,29140
Enfield,E09000010,01 03 2021,17,29157
Enfield,E09000010,02 03 2021,21,29178
Enfield,E09000010,03 03 2021,21,29199
Enfield,E09000010,04 03 2021,11,29210
Enfield,E09000010,05 03 2021,12,29222
Enfield,E09000010,06 03 2021,16,29238
